well_name,unique_id,rxn_id,K,Liposome_name,Mg,SecYE,Spermidine,Liposome_conc,DNA_conc,DNA_name,plate,row,col
C10,43,43,85,DOPC,8,0.625,4,3,5,Beta,4,2,9
L17,44,44,85,DOPC,14,0,4,3,5,Beta,4,11,16
B19,46,46,85,DOPC+15%PE,14,1.25,0.1,3,5,Beta,4,1,18
F3,49,49,85,DOPC+30%PE,14,1.25,0.4,3,5,Beta,4,5,2
B11,52,52,185,DOPC+15%PE,8,1.25,0.1,3,5,Beta,4,1,10
N3,57,57,185,DOPC+30%PE,14,0,0.1,3,5,Beta,4,13,2
A2,58,58,185,DOPC+30%PE,14,0.625,0.4,3,5,Beta,4,0,1
N2,59,59,185,DOPC+30%PE,14,1.25,1,3,5,Beta,4,13,1
E13,234,234,85,no_lipo,8,0,1,3,5,Beta,4,4,12
L9,235,235,85,no_lipo,8,0.625,4,3,5,Beta,4,11,8
G24,238,238,85,no_lipo,14,1.25,0.1,3,5,Beta,4,6,23
H9,239,239,85,no_lipo,8,1.25,0.1,3,5,Beta,4,7,8
H23,240,240,85,no_lipo,14,0.625,0.1,3,5,Beta,4,7,22
G18,242,242,185,no_lipo,8,0,4,3,5,Beta,4,6,17
F20,244,244,185,no_lipo,8,1.25,0.1,3,5,Beta,4,5,19
P24,245,245,185,no_lipo,14,0.625,0.1,3,5,Beta,4,15,23
A7,247,247,185,no_lipo,8,0.625,0.1,3,5,Beta,4,0,6
K1,248,248,185,no_lipo,8,1.25,0.4,3,5,Beta,4,10,0
A15,249,249,185,no_lipo,14,0,0.1,3,5,Beta,4,0,14
F10,250,250,185,no_lipo,14,0.625,0.4,3,5,Beta,4,5,9
F2,251,251,185,no_lipo,14,1.25,1,3,5,Beta,4,5,1
D1,427,43,85,DOPC,8,0.625,4,3,5,Beta,4,3,0
N7,429,45,85,DOPC+15%PE,8,0,4,3,5,Beta,4,13,6
O9,430,46,85,DOPC+15%PE,14,1.25,0.1,3,5,Beta,4,14,8
D5,431,47,85,DOPC+30%PE,8,1.25,0.1,3,5,Beta,4,3,4
L14,432,48,85,DOPC+30%PE,14,0.625,0.1,3,5,Beta,4,11,13
K21,434,50,185,DOPC,8,0,4,3,5,Beta,4,10,20
