well_name,unique_id,rxn_id,DNA_name,DNA_conc,Liposome_name,Liposome_conc,Mg,SecYE,K,PEG,Chol_conc,Spermidine,PE_conc,plate,col,row,WCE
K2,0,0,Mito,5,DOPC,3,14,0.0,185,1,0,4,0,1,1,10,BL64
A4,1,1,Mito,5,DOPC,3,8,1.25,135,2,0,4,0,1,3,0,BL64
B3,2,2,Dia,5,DOPC,3,8,0.0,185,0,0,4,0,1,2,1,BL64
A2,3,3,Dia,5,DOPC,3,14,0.0,85,2,0,4,0,1,1,0,BL64
G2,4,4,OR1A1,5,DOPC,3,14,0.0,185,0,0,4,0,1,1,6,BL64
K5,5,5,OR1A1,5,DOPC,3,20,1.25,85,2,0,4,0,1,4,10,BL64
F2,6,6,Blank,0,DOPC,3,8,0.0,85,0,0,4,0,1,1,5,BL64
N3,7,7,Cat,5,DOPC,3,8,0.0,85,0,0,4,0,1,2,13,BL64
J2,8,8,Cat,5,DOPC,3,20,1.25,185,2,0,4,0,1,1,9,BL64
I4,9,9,Mito,5,no_lipo,3,14,0.0,185,1,0,4,0,1,3,8,BL64
O2,10,10,Mito,5,no_lipo,3,8,1.25,135,2,0,4,0,1,1,14,BL64
O3,11,11,Dia,5,no_lipo,3,8,0.0,185,0,0,4,0,1,2,14,BL64
C1,12,12,Dia,5,no_lipo,3,14,0.0,85,2,0,4,0,1,0,2,BL64
N1,13,13,OR1A1,5,no_lipo,3,14,0.0,185,0,0,4,0,1,0,13,BL64
E5,14,14,OR1A1,5,no_lipo,3,20,1.25,85,2,0,4,0,1,4,4,BL64
G1,15,15,Blank,0,no_lipo,3,8,0.0,85,0,0,4,0,1,0,6,BL64
C6,16,16,Cat,5,no_lipo,3,8,0.0,85,0,0,4,0,1,5,2,BL64
A3,17,17,Cat,5,no_lipo,3,20,1.25,185,2,0,4,0,1,2,0,BL64
O1,18,0,Mito,5,DOPC,3,14,0.0,185,1,0,4,0,1,0,14,BL64
G4,19,1,Mito,5,DOPC,3,8,1.25,135,2,0,4,0,1,3,6,BL64
