well_name,DNA_name,DNA_conc,Liposome_name,Liposome_conc,Mg,SecYE,combo,K
A1,MtlA,5.0,DOPC,3.0,15.0,0.0,BL59-1_5,85
A10,Glut,5.0,no_lipo,0.0,15.0,0.0,BL59-1_5,85
A11,Blank,0.0,DOPC,3.0,15.0,0.0,BL59-1_5,85
A12,MtlA,5.0,no_lipo,0.0,10.0,1.25,BL59-1_5,85
A13,Blank,0.0,DOPC,3.0,20.0,2.5,BL59-1_5,85
A14,B2AR,5.0,DOPC,3.0,15.0,0.0,BL59-1_5,85
A15,AqpZ,5.0,no_lipo,0.0,15.0,2.5,BL59-1_5,85
A16,B2AR,5.0,DOPC,3.0,15.0,0.0,BL59-1_5,85
A17,MtlA,5.0,DOPC,3.0,15.0,0.0,BL59-1_5,85
A18,Glut,5.0,no_lipo,0.0,10.0,1.25,BL59-1_5,85
A19,B2AR,5.0,no_lipo,0.0,15.0,1.25,BL59-1_5,85
A2,MtlA,5.0,no_lipo,0.0,10.0,2.5,BL59-1_5,85
A20,CD47,5.0,DOPC,3.0,20.0,2.5,BL59-1_5,85
A21,MtlA,5.0,no_lipo,0.0,20.0,2.5,BL59-1_5,85
A3,MtlA,5.0,DOPC,3.0,20.0,0.0,BL59-1_5,85
A4,B2AR,5.0,no_lipo,0.0,10.0,2.5,BL59-1_5,85
A5,CD47,5.0,no_lipo,0.0,10.0,2.5,BL59-1_5,85
A6,CD47,5.0,DOPC,3.0,15.0,0.0,BL59-1_5,85
A7,CD47,5.0,no_lipo,0.0,10.0,1.25,BL59-1_5,85
A8,B2AR,5.0,no_lipo,0.0,15.0,0.0,BL59-1_5,85
A9,MtlA,5.0,no_lipo,0.0,15.0,2.5,BL59-1_5,85
B1,Blank,0.0,no_lipo,0.0,10.0,1.25,BL59-1_5,85
B10,Glut,5.0,DOPC,3.0,20.0,2.5,BL59-1_5,85
B11,MtlA,5.0,no_lipo,0.0,10.0,0.0,BL59-1_5,85
B12,Glut,5.0,DOPC,3.0,20.0,0.0,BL59-1_5,85
